iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,2.602345222779577,2.002345222779577,0.375,6,1.0,3
1,2.60132195808344,2.00132195808344,0.375,6,1.0,3
2,2.6002648731199813,2.0002648731199812,0.375,6,1.0,3
3,2.5991728972333403,1.9991728972333402,0.375,6,1.0,3
4,2.5980449324222885,1.9980449324222884,0.375,6,1.0,3
5,2.5968798531350337,1.9968798531350336,0.375,6,1.0,3
6,2.5956765061000473,1.9956765061000474,0.375,6,1.0,3
7,2.5944337101954185,1.9944337101954184,0.375,6,1.0,3
8,2.5931502563611994,1.9931502563611991,0.375,6,1.0,3
9,2.5918249075557096,1.9918249075557095,0.375,6,1.0,3
10,2.590456398760882,1.990456398760882,0.375,6,1.0,3
11,2.5890434370371214,1.989043437037121,0.375,6,1.0,3
12,2.5875847016335487,1.9875847016335486,0.375,6,1.0,3
13,2.5860788441568787,1.9860788441568786,0.375,6,1.0,3
14,2.5845244887986007,1.9845244887986007,0.375,6,1.0,3
15,2.582920232628232,1.9829202326282316,0.375,6,1.0,3
16,2.581264645953274,1.9812646459532737,0.375,6,1.0,3
17,2.5795562727500148,1.979556272750015,0.375,6,1.0,3
18,2.577793631167168,1.9777936311671682,0.375,6,1.0,3
19,2.5759752141072134,1.975975214107213,0.375,6,1.0,3
20,2.3833012379121583,1.9833012379121584,0.375,4,0.6666666666666666,2
21,2.3820801899740505,1.9820801899740506,0.375,4,0.6666666666666666,2
22,2.380831460335803,1.980831460335803,0.375,4,0.6666666666666666,2
23,2.3795545270837684,1.9795545270837684,0.375,4,0.6666666666666666,2
24,2.3782488633468244,1.9782488633468243,0.375,4,0.6666666666666666,2
25,2.37691393745213,1.97691393745213,0.375,4,0.6666666666666666,2
26,2.375549213091964,1.975549213091964,0.375,4,0.6666666666666666,2
27,2.3741541494974636,1.9741541494974637,0.375,4,0.6666666666666666,2
28,2.3727282016216655,1.9727282016216656,0.375,4,0.6666666666666666,2
29,2.371270820332583,1.9712708203325833,0.375,4,0.6666666666666666,2
